"id","username","password","name","subject","email","mobile","address","profile_pic","roll","dep_id","is_logged","createdAt","updatedAt"
"162f9b32-4f02-4900-a190-3a440f4c4cdc","dipen1","$2a$12$6bV/slzMfXDLEF6UAxTr/ez6xAyaownOJHKp.jy2k2klnlaJT5Ssm","Teacher","nodejs",,NULL,NULL,"default.jpg","teacher",NULL,NULL,"2019-08-27 21:15:09.382085","2019-08-27 21:15:09.382085"
"36bdcd55-4990-4b46-8627-d610c9424608","admin","$2a$12$/R3hxmO4sN2/jsc3wrfYG.MeDS0NtyNdYbBMYOmJBM5wNFWvcITWW","admin","admin","admin@admin",NULL,NULL,"default.jpg","admin",NULL,NULL,"2019-08-27 21:08:02.774211","2019-08-27 21:08:02.774211"
"514d63ef-4ca1-48d1-93da-653e3b55b3b7","user1","$2a$12$VaS5HF5iffMULz.mLTzRbO2BOd5bmLQ.PssAGIo091RAdzZhKeSzK","Teacher","nodejs",,NULL,NULL,"default.jpg","principle",NULL,NULL,"2019-08-27 21:14:56.438375","2019-08-27 21:14:56.438375"
"5c39e778-f8e6-4cba-86c3-ab38dd1a1c95","teacher","$2a$12$i8LmEafdIv2avd7.0KjX5ebQNr120hPzT39hkMQZydrkXsfaLvr5K","Teacher","nodejs",,NULL,NULL,"default.jpg","principle",NULL,NULL,"2019-08-27 21:14:34.940331","2019-08-27 21:14:34.940331"
"77e82df9-bce9-4386-b392-c5cefe148e7a","dipen","$2a$12$leWCcz7nJHi2EgkKHZ/QFO7ZSNApDn4Cb0pq0yu55qneXBaiCCECy","Teacher","nodejs",,NULL,NULL,"default.jpg","principle",NULL,NULL,"2019-08-27 21:15:00.915792","2019-08-27 21:15:00.915792"
"99de158b-222f-468f-833c-c13c5a6a4c31","dipen2","$2a$12$xjXh9ZweyaLGHhDJDi8GPOofhsz1y8nl1wzJaxTut2NCXNP4a8WfK","Teacher","nodejs",,NULL,NULL,"default.jpg","teacher",NULL,NULL,"2019-08-27 21:15:17.695509","2019-08-27 21:15:17.695509"
"a1d011d6-7adf-4685-9848-8cec9c55565a","teacher1","$2a$12$3fan6wXzVb8apa4ZyNEolO91HzfTBtFremIZ1711/cWNNt4N7dZlO","Teacher","nodejs",,NULL,NULL,"default.jpg","principle",NULL,NULL,"2019-08-27 21:14:43.121689","2019-08-27 21:14:43.121689"
"bcba7fe2-d420-4416-b2a6-4add765e868a","dipen3","$2a$12$yfVsFsoR26KHK9nQj3zboeM/Dje8EihBU.R6LU8Wtez1qBsij9iiy","Teacher","nodejs",,NULL,NULL,"default.jpg","teacher",NULL,NULL,"2019-08-27 21:15:26.947023","2019-08-27 21:15:26.947023"
"c0b644f0-0168-471b-b32f-8ab641006552","user","$2a$12$95q8XLAL8XYB8tgP8.NitucauP15D.7ReFLztwiwq97hyaMaWHpu6","Teacher","nodejs",,NULL,NULL,"default.jpg","principle",NULL,NULL,"2019-08-27 21:14:52.236237","2019-08-27 21:14:52.236237"
"cb60a4be-f425-4004-b0c6-f58e310a4a4f","dipends","$2a$12$97Qf/5UJfYPmiEwYbxUw9OwH4oysY.TdgiF8fK7wOaC0TmKmru6HG","Teacher parmar","nodejs","dipensavji@gmail.com",NULL,NULL,"default.jpg","principle",NULL,NULL,"2019-08-27 21:06:35.809892","2019-08-27 21:06:35.809892"
