id,username,password,name,subject,email,mobile,address,profile_pic,roll,dep_id,is_logged,createdAt,updatedAt
162f9b32-4f02-4900-a190-3a440f4c4cdc,dipen1,$2a$12$97Qf/5UJfYPmiEwYbxUw9OwH4oysY.TdgiF8fK7wOaC0TmKmru6HG,Teacher,nodejs,,NULL,NULL,default.jpg,teacher,NULL,NULL,15:09.4,15:09.4
36bdcd55-4990-4b46-8627-d610c9424608,admin,$2a$12$97Qf/5UJfYPmiEwYbxUw9OwH4oysY.TdgiF8fK7wOaC0TmKmru6HG,admin,admin,admin@admin,NULL,NULL,default.jpg,admin,NULL,NULL,08:02.8,08:02.8
514d63ef-4ca1-48d1-93da-653e3b55b3b7,user1,$2a$12$97Qf/5UJfYPmiEwYbxUw9OwH4oysY.TdgiF8fK7wOaC0TmKmru6HG,Teacher,nodejs,,NULL,NULL,default.jpg,principle,NULL,NULL,14:56.4,14:56.4
5c39e778-f8e6-4cba-86c3-ab38dd1a1c95,teacher,$2a$12$97Qf/5UJfYPmiEwYbxUw9OwH4oysY.TdgiF8fK7wOaC0TmKmru6HG,Teacher,nodejs,,NULL,NULL,default.jpg,principle,NULL,NULL,14:34.9,14:34.9
77e82df9-bce9-4386-b392-c5cefe148e7a,dipen,$2a$12$97Qf/5UJfYPmiEwYbxUw9OwH4oysY.TdgiF8fK7wOaC0TmKmru6HG,Teacher,nodejs,,NULL,NULL,default.jpg,principle,NULL,NULL,15:00.9,15:00.9
99de158b-222f-468f-833c-c13c5a6a4c31,dipen2,$2a$12$97Qf/5UJfYPmiEwYbxUw9OwH4oysY.TdgiF8fK7wOaC0TmKmru6HG,Teacher,nodejs,,NULL,NULL,default.jpg,teacher,NULL,NULL,15:17.7,15:17.7
a1d011d6-7adf-4685-9848-8cec9c55565a,teacher1,$2a$12$97Qf/5UJfYPmiEwYbxUw9OwH4oysY.TdgiF8fK7wOaC0TmKmru6HG,Teacher,nodejs,,NULL,NULL,default.jpg,principle,NULL,NULL,14:43.1,14:43.1
bcba7fe2-d420-4416-b2a6-4add765e868a,dipen3,$2a$12$97Qf/5UJfYPmiEwYbxUw9OwH4oysY.TdgiF8fK7wOaC0TmKmru6HG,Teacher,nodejs,,NULL,NULL,default.jpg,teacher,NULL,NULL,15:26.9,15:26.9
c0b644f0-0168-471b-b32f-8ab641006552,user,$2a$12$97Qf/5UJfYPmiEwYbxUw9OwH4oysY.TdgiF8fK7wOaC0TmKmru6HG,Teacher,nodejs,,NULL,NULL,default.jpg,principle,NULL,NULL,14:52.2,14:52.2
cb60a4be-f425-4004-b0c6-f58e310a4a4f,dipends,$2a$12$97Qf/5UJfYPmiEwYbxUw9OwH4oysY.TdgiF8fK7wOaC0TmKmru6HG,Teacher parmar,nodejs,dipensavji@gmail.com,NULL,NULL,default.jpg,principle,NULL,NULL,06:35.8,06:35.8
